List  ID / Download Link,CONDITION,Description,Provenance,Prevalence %,Usage in Searchable Dataset
LEA163 (MEDCODES),Learning disability,,Lists developed by Cambridge CPRD group.,0.4%,Read code ever recorded
MIG164 (PRODCODES),Migraine,,"Lists developed by Cambridge CPRD group. Read codes and Drug codes to be used together We have only included acute treatments for migraines (triptans), because most migraine prophylactics are too general and are usually prescribed for other reasons (e.g.  beta-blockers)",0.4%,4 or more prescription only medicine anti-migraine prescriptions in last year
MSC165 (MEDCODES),Multiple sclerosis,,"List developed by ISD, checked by Cambridge",0.3%,Read code ever recorded
PNC166 (PRODCODES),Painful condition,Take care constructing this long term condition! The difficulty is that many pain medications can be used for other reasons.  We have therefore followed the logic of Barnett et al: 'Use PNC (if 4 or more times in 12 months) OR [PNCEP (if 4 or more times in 12 months) AND NOT EPI_MEDCODES (within last 12 months)]' where  PNC = Analgesics excluding migraine treatments PNCEP = Epilepsy drugs excluding benzodiazepenes,Lists developed by Cambridge CPRD group. Epilepsy drugs excluding benzodiazepenes,10.1%,4 or more POM analgesics in last 12 months OR ( 4 or more specified anti-epileptics in last 12 months in the absence of an epilepsy Read code ever recorded)
PNC167 (PRODCODES),Painful condition,Take care constructing this long term condition! The difficulty is that many pain medications can be used for other reasons.  We have therefore followed the logic of Barnett et al: 'Use PNC (if>=4 times in 12 months) OR [PNCEP (if>=4 times in 12 months) AND NOT EPI_MEDCODES (within last 12 months)]' where  PNC = Analgesics excluding migraine treatments PNCEP = Epilepsy drugs excluding benzodiazepenes,Lists developed by Cambridge CPRD group. Analgesics excluding  migraine treatments,10.1%,4 or more POM analgesics in last 12 months OR ( 4 or more specified anti-epileptics in last 12 months in the absence of an epilepsy Read code ever recorded)
PRK169 (MEDCODES),Parkinson's disease,,"List developed by Cambridge CPRD group, based on Scottish Information Services Division (ISD) terminology.",0.3%,Read code ever recorded
PEP135 (MEDCODES),Peptic Ulcer Disease,Also have readcodes that look like OXMIS with no events,"List developed by Cambridge CPRD group, based on Khan Charlson.  NB only contains things related to stomach/duodenal ulcers. 'itis', symptoms such as dyspepsia and oesophageal symptoms are discounted.",2.1%,Read code ever recorded
PVD168 (MEDCODES),Peripheral vascular disease,,"This is the same as  the QOF 2012 list, checked by Cambridge",1.3%,Read code ever recorded
PRO170 (MEDCODES),Prostate disorders,,"List developed by Cambridge CPRD group, based on Scottish Information Services Division (ISD) terminology.",5.7%,Read code ever recorded
PSO171 (MEDCODES),Psoriasis or eczema,,"Lists developed by Cambridge CPRD group for Drugs and Medcodes, to be used together",0.7%,Read code ever recorded (MEDCODES) AND 4 or more related prescriptions in last 12 months (excluding simple emollients) (PRODCODES)
PSO172 (PRODCODES),Psoriasis or eczema,,"Lists developed by Cambridge CPRD group for Drugs and Medcodes, to be used together",,Read code ever recorded (MEDCODES) AND 4 or more related prescriptions in last 12 months (excluding simple emollients) (PRODCODES)
PSM173 (MEDCODES),Psychoactive substance misuse (NOT ALCOHOL),,List developed by Cambridge CPRD group.,1.5%,Read code ever recorded
RHE174 (MEDCODES),"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",,"List developed by Cambridge CPRD group, based on Scottish Information Services Division (ISD) terminology of rheumatoid arthritis.",2.5%,Read code ever recorded
SCZ175 (MEDCODES),Schizophrenia (and related non-organic psychosis) or bipolar disorder,,List developed by Cambridge CPRD group.,0.3%,Read code ever recorded (MEDCODES) OR Lithium ever recorded (PRODCODES)
SCZ176 (PRODCODES),Schizophrenia (and related non-organic psychosis) or bipolar disorder,,List developed by Cambridge CPRD group.,,Read code ever recorded (MEDCODES) OR Lithium ever recorded (PRODCODES)
STR130 (MEDCODES),Stroke & transient ischaemic attack,,"List developed by Cambridge CPRD group, based on QOF 2012, including TIA but without sub-arachnoid haemorrhage codes.",2.9%,Read code ever recorded
THY179 (MEDCODES),Thyroid disorders,,List developed by Cambridge CPRD group from QOF 2012,5.1%,Read code ever recorded
